  130.00M!dsun!n L=  6.306L!dsun!n T!deff!n= 55266.0
 201          x   
  1.4040E+06  1.3146E+06  1.2313E+06  1.1536E+06  1.0810E+06  1.0133E+06
  9.4997E+05  8.9083E+05  8.3553E+05  7.8382E+05  7.3545E+05  6.9017E+05
  6.4779E+05  6.0810E+05  5.7094E+05  5.3612E+05  5.0350E+05  4.7293E+05
  4.4428E+05  4.1744E+05  3.9228E+05  3.6869E+05  3.4659E+05  3.2588E+05
  3.0647E+05  2.8827E+05  2.7119E+05  2.5517E+05  2.4011E+05  2.2594E+05
  2.1259E+05  1.9998E+05  1.8804E+05  1.7674E+05  1.6602E+05  1.5588E+05
  1.4629E+05  1.3725E+05  1.2876E+05  1.2083E+05  1.1342E+05  1.0654E+05
  1.0017E+05  9.4264E+04  8.8817E+04  8.3795E+04  7.9175E+04  7.4931E+04
  7.1042E+04  6.7490E+04  6.4260E+04  6.1344E+04  5.8736E+04  5.6433E+04
  5.4435E+04  5.2736E+04  5.1323E+04  5.0175E+04  4.9263E+04  4.8549E+04
  4.7998E+04  4.7576E+04  4.7255E+04  4.7010E+04  4.6824E+04  4.6683E+04
  4.6574E+04  4.6491E+04
 200          p   
  1.4249E+16  1.3793E+16  1.3398E+16  1.3040E+16  1.2711E+16  1.2402E+16
  1.2110E+16  1.1832E+16  1.1566E+16  1.1310E+16  1.1063E+16  1.0823E+16
  1.0591E+16  1.0366E+16  1.0146E+16  9.9321E+15  9.7228E+15  9.5182E+15
  9.3179E+15  9.1217E+15  8.9292E+15  8.7404E+15  8.5549E+15  8.3727E+15
  8.1936E+15  8.0174E+15  7.8440E+15  7.6733E+15  7.5053E+15  7.3397E+15
  7.1766E+15  7.0158E+15  6.8573E+15  6.7010E+15  6.5469E+15  6.3948E+15
  6.2448E+15  6.0968E+15  5.9508E+15  5.8066E+15  5.6644E+15  5.5240E+15
  5.3854E+15  5.2486E+15  5.1136E+15  4.9803E+15  4.8487E+15  4.7189E+15
  4.5907E+15  4.4642E+15  4.3393E+15  4.2161E+15  4.0945E+15  3.9746E+15
  3.8562E+15  3.7395E+15  3.6243E+15  3.5108E+15  3.3988E+15  3.2884E+15
  3.1796E+15  3.0724E+15  2.9668E+15  2.8627E+15  2.7603E+15  2.6594E+15
  2.5601E+15  2.4624E+15  2.3663E+15  2.2718E+15  2.1790E+15  2.0877E+15
  1.9981E+15  1.9101E+15  1.8237E+15  1.7390E+15  1.6560E+15  1.5746E+15
  1.4949E+15  1.4169E+15  1.3406E+15  1.2661E+15  1.1933E+15  1.1222E+15
  1.0529E+15  9.8540E+14  9.1971E+14  8.5584E+14  7.9381E+14  7.3366E+14
  6.7539E+14  6.1905E+14  5.6464E+14  5.1220E+14  4.6177E+14  4.1337E+14
  3.6703E+14  3.2281E+14  2.8075E+14  2.4088E+14  2.0328E+14  1.6814E+14
  1.3591E+14  1.0721E+14  8.2559E+13  6.2188E+13  4.5986E+13  3.3543E+13
  2.4265E+13  1.7502E+13  1.2643E+13  9.1695E+12  6.6804E+12  4.8873E+12
  3.5892E+12  2.6454E+12  1.9562E+12  1.4510E+12  1.0793E+12  8.0501E+11
  6.0188E+11  4.5105E+11  3.3873E+11  2.5489E+11  1.9215E+11  1.4511E+11
  1.0976E+11  8.3144E+10  6.3071E+10  4.7907E+10  3.6434E+10  2.7740E+10
  2.1143E+10  1.6131E+10  1.2319E+10  9.4155E+09  7.2025E+09  5.5139E+09
  4.2243E+09  3.2385E+09  2.4843E+09  1.9069E+09  1.4645E+09  1.1254E+09
  8.6518E+08  6.6546E+08  5.1207E+08  3.9420E+08  3.0358E+08  2.3388E+08
  1.8024E+08  1.3895E+08  1.0715E+08  8.2647E+07  6.3767E+07  4.9213E+07
  3.7990E+07  2.9333E+07  2.2654E+07  1.7500E+07  1.3522E+07  1.0451E+07
  8.0796E+06  6.2482E+06  4.8335E+06  3.7405E+06  2.8958E+06  2.2430E+06
  1.7383E+06  1.3480E+06  1.0461E+06  8.1260E+05  6.3188E+05  4.9201E+05
  3.8373E+05  2.9990E+05  2.3499E+05  1.8472E+05  1.4578E+05  1.1562E+05
  9.2253E+04  7.4149E+04  6.0122E+04  4.9251E+04  4.0827E+04  3.4298E+04
  2.9236E+04  2.5313E+04  2.2271E+04  1.9912E+04  1.8083E+04  1.6665E+04
  1.5565E+04  1.4712E+04  1.4050E+04  1.3537E+04  1.3139E+04  1.2830E+04
  1.2591E+04  1.2405E+04
 200          rho 
  8.7630E-02  7.7695E-02  6.8800E-02  6.0538E-02  5.2707E-02  4.5189E-02
  3.7907E-02  3.0809E-02  2.3854E-02  1.7015E-02  1.0266E-02  3.5896E-03
 -3.0297E-03 -9.6051E-03 -1.6148E-02 -2.2667E-02 -2.9171E-02 -3.5667E-02
 -4.2163E-02 -4.8664E-02 -5.5176E-02 -6.1704E-02 -6.8253E-02 -7.4826E-02
 -8.1430E-02 -8.8066E-02 -9.4740E-02 -1.0146E-01 -1.0822E-01 -1.1502E-01
 -1.2188E-01 -1.2880E-01 -1.3577E-01 -1.4281E-01 -1.4991E-01 -1.5708E-01
