1
 OUTPUT FROM NONPUL:
  INITIAL MODEL IN HYDROSTATIC AND THERMAL BALANCE

  ZAMS 130 Msun to test the complete integrator                                      200 ZONES

     TOTAL LUMINOSITY= 7.7397E+39 TOTAL MASS= 2.5883E+35 EFFECTIVE TEMP.= 5.5266E+04
       PHOTOSPHERIC RADIUS= 1.0791E+12 CORE RADIUS= 6.2950E+10 CORE LUM.= 7.2700E+38
 IRAD= 1 NOBURN= 0 ONEMQ0= 1.000E+00 ONEMQ1= 1.000E+00 RLUMS= 7.740E+39 RLUMC= 7.740E+33
           IOUT= 0 IHMIN=  0 IHMAX=  0
   I   RADIUS     TEMP     SP.VOL   PRESSURE     G1       G3M1     OPACITY   DLKDLR    DLKDLT      CV       FRFT    INT.MASS
   33 2.388E+11 3.436E+07 1.367E+00 6.857E+15 1.423E+00 3.688E-01 3.355E-01 3.025E-03-1.499E-02 1.878E+09 2.699E-01 5.251E+34
   34 2.423E+11 3.416E+07 1.389E+00 6.701E+15 1.423E+00 3.688E-01 3.355E-01 3.063E-03-1.510E-02 1.875E+09 2.791E-01 5.434E+34
   35 2.458E+11 3.395E+07 1.412E+00 6.547E+15 1.423E+00 3.689E-01 3.356E-01 3.102E-03-1.522E-02 1.872E+09 2.884E-01 5.619E+34
   36 2.493E+11 3.374E+07 1.436E+00 6.395E+15 1.423E+00 3.689E-01 3.356E-01 3.141E-03-1.534E-02 1.869E+09 2.978E-01 5.806E+34
   37 2.528E+11 3.354E+07 1.460E+00 6.245E+15 1.424E+00 3.690E-01 3.356E-01 3.180E-03-1.545E-02 1.866E+09 3.072E-01 5.995E+34
   38 2.563E+11 3.333E+07 1.485E+00 6.097E+15 1.424E+00 3.690E-01 3.356E-01 3.220E-03-1.558E-02 1.863E+09 3.167E-01 6.186E+34
   39 2.597E+11 3.312E+07 1.510E+00 5.951E+15 1.424E+00 3.691E-01 3.356E-01 3.260E-03-1.570E-02 1.860E+09 3.263E-01 6.379E+34
   40 2.632E+11 3.291E+07 1.536E+00 5.807E+15 1.424E+00 3.692E-01 3.356E-01 3.301E-03-1.583E-02 1.857E+09 3.360E-01 6.573E+34
   41 2.667E+11 3.270E+07 1.563E+00 5.664E+15 1.424E+00 3.692E-01 3.356E-01 3.342E-03-1.595E-02 1.854E+09 3.457E-01 6.770E+34
   42 2.702E+11 3.249E+07 1.591E+00 5.524E+15 1.424E+00 3.693E-01 3.357E-01 3.383E-03-1.609E-02 1.851E+09 3.555E-01 6.969E+34
