1
 OUTPUT FROM NONPUL:
  INITIAL MODEL IN HYDROSTATIC AND THERMAL BALANCE

  ZAMS 130 Msun to test the complete integrator                                      200 ZONES

     TOTAL LUMINOSITY= 7.7397E+39 TOTAL MASS= 2.5883E+35 EFFECTIVE TEMP.= 5.5266E+04
       PHOTOSPHERIC RADIUS= 1.0791E+12 CORE RADIUS= 6.2950E+10 CORE LUM.= 7.2700E+38
 IRAD= 1 NOBURN= 0 ONEMQ0= 1.000E+00 ONEMQ1= 1.000E+00 RLUMS= 7.740E+39 RLUMC= 7.740E+33
           IOUT= 0 IHMIN=  0 IHMAX=  0
   I   RADIUS     TEMP     SP.VOL   PRESSURE     G1       G3M1     OPACITY   DLKDLR    DLKDLT      CV       FRFT    INT.MASS
  135 9.927E+11 1.231E+06 2.511E+04 1.232E+10 1.432E+00 3.744E-01 3.840E-01 1.071E-01-4.516E-01 1.618E+09 1.000E+00 2.588E+35
  136 9.972E+11 1.154E+06 3.099E+04 9.415E+09 1.432E+00 3.739E-01 3.868E-01 1.122E-01-4.727E-01 1.639E+09 1.000E+00 2.588E+35
  137 1.001E+12 1.081E+06 3.825E+04 7.203E+09 1.431E+00 3.734E-01 3.896E-01 1.174E-01-4.943E-01 1.662E+09 1.000E+00 2.588E+35
  138 1.005E+12 1.013E+06 4.719E+04 5.514E+09 1.430E+00 3.728E-01 3.925E-01 1.227E-01-5.163E-01 1.685E+09 1.000E+00 2.588E+35
  139 1.009E+12 9.500E+05 5.821E+04 4.224E+09 1.429E+00 3.722E-01 3.955E-01 1.282E-01-5.387E-01 1.710E+09 1.000E+00 2.588E+35
  140 1.013E+12 8.908E+05 7.179E+04 3.238E+09 1.428E+00 3.717E-01 3.987E-01 1.338E-01-5.614E-01 1.735E+09 1.000E+00 2.588E+35
  141 1.016E+12 8.355E+05 8.853E+04 2.484E+09 1.427E+00 3.711E-01 4.019E-01 1.395E-01-5.844E-01 1.762E+09 1.000E+00 2.588E+35
  142 1.020E+12 7.838E+05 1.092E+05 1.907E+09 1.426E+00 3.705E-01 4.052E-01 1.452E-01-6.078E-01 1.790E+09 1.000E+00 2.588E+35
  143 1.023E+12 7.354E+05 1.346E+05 1.465E+09 1.425E+00 3.699E-01 4.087E-01 1.511E-01-6.314E-01 1.820E+09 1.000E+00 2.588E+35
  144 1.026E+12 6.902E+05 1.659E+05 1.125E+09 1.424E+00 3.693E-01 4.122E-01 1.571E-01-6.552E-01 1.850E+09 1.000E+00 2.588E+35
  145 1.029E+12 6.478E+05 2.046E+05 8.652E+08 1.423E+00 3.687E-01 4.158E-01 1.632E-01-6.793E-01 1.882E+09 1.000E+00 2.588E+35
  146 1.031E+12 6.081E+05 2.523E+05 6.655E+08 1.422E+00 3.680E-01 4.195E-01 1.693E-01-7.036E-01 1.916E+09 1.000E+00 2.588E+35
  147 1.034E+12 5.709E+05 3.111E+05 5.121E+08 1.421E+00 3.674E-01 4.233E-01 1.756E-01-7.282E-01 1.951E+09 1.000E+00 2.588E+35
  148 1.036E+12 5.361E+05 3.836E+05 3.942E+08 1.420E+00 3.668E-01 4.272E-01 1.819E-01-7.532E-01 1.988E+09 1.000E+00 2.588E+35
  149 1.039E+12 5.035E+05 4.732E+05 3.036E+08 1.419E+00 3.661E-01 4.312E-01 1.883E-01-7.787E-01 2.027E+09 1.000E+00 2.588E+35
  150 1.041E+12 4.729E+05 5.839E+05 2.339E+08 1.418E+00 3.655E-01 4.352E-01 1.948E-01-8.049E-01 2.068E+09 1.000E+00 2.588E+35
  151 1.043E+12 4.443E+05 7.207E+05 1.802E+08 1.416E+00 3.648E-01 4.394E-01 2.014E-01-8.321E-01 2.112E+09 1.000E+00 2.588E+35
  152 1.045E+12 4.174E+05 8.901E+05 1.389E+08 1.415E+00 3.641E-01 4.436E-01 2.082E-01-8.608E-01 2.159E+09 1.000E+00 2.588E+35
  153 1.047E+12 3.923E+05 1.100E+06 1.071E+08 1.414E+00 3.634E-01 4.479E-01 2.152E-01-8.915E-01 2.209E+09 1.000E+00 2.588E+35
  154 1.049E+12 3.687E+05 1.360E+06 8.265E+07 1.412E+00 3.627E-01 4.523E-01 2.224E-01-9.250E-01 2.262E+09 1.000E+00 2.588E+35
  155 1.050E+12 3.466E+05 1.684E+06 6.377E+07 1.411E+00 3.620E-01 4.569E-01 2.300E-01-9.622E-01 2.321E+09 1.000E+00 2.588E+35
  156 1.052E+12 3.259E+05 2.087E+06 4.921E+07 1.410E+00 3.612E-01 4.616E-01 2.380E-01-1.004E+00 2.385E+09 1.000E+00 2.588E+35
  157 1.054E+12 3.065E+05 2.589E+06 3.799E+07 1.408E+00 3.604E-01 4.667E-01 2.467E-01-1.052E+00 2.454E+09 1.000E+00 2.588E+35
  158 1.055E+12 2.883E+05 3.216E+06 2.933E+07 1.406E+00 3.596E-01 4.721E-01 2.562E-01-1.107E+00 2.531E+09 1.000E+00 2.588E+35
  159 1.057E+12 2.712E+05 4.001E+06 2.265E+07 1.405E+00 3.588E-01 4.779E-01 2.666E-01-1.169E+00 2.614E+09 1.000E+00 2.588E+35
  160 1.058E+12 2.552E+05 4.984E+06 1.750E+07 1.403E+00 3.579E-01 4.844E-01 2.782E-01-1.237E+00 2.705E+09 1.000E+00 2.588E+35
  161 1.060E+12 2.401E+05 6.213E+06 1.352E+07 1.401E+00 3.571E-01 4.916E-01 2.911E-01-1.311E+00 2.802E+09 1.000E+00 2.588E+35
  162 1.061E+12 2.259E+05 7.747E+06 1.045E+07 1.399E+00 3.562E-01 4.996E-01 3.053E-01-1.384E+00 2.903E+09 1.000E+00 2.588E+35
  163 1.062E+12 2.126E+05 9.653E+06 8.080E+06 1.398E+00 3.555E-01 5.085E-01 3.207E-01-1.450E+00 3.006E+09 1.000E+00 2.588E+35
  164 1.064E+12 2.000E+05 1.201E+07 6.248E+06 1.396E+00 3.548E-01 5.180E-01 3.368E-01-1.499E+00 3.105E+09 1.000E+00 2.588E+35
  165 1.065E+12 1.880E+05 1.488E+07 4.833E+06 1.395E+00 3.542E-01 5.279E-01 3.530E-01-1.521E+00 3.194E+09 1.000E+00 2.588E+35
  166 1.066E+12 1.767E+05 1.836E+07 3.740E+06 1.394E+00 3.537E-01 5.377E-01 3.682E-01-1.510E+00 3.267E+09 1.000E+00 2.588E+35
  167 1.067E+12 1.660E+05 2.253E+07 2.896E+06 1.393E+00 3.534E-01 5.466E-01 3.815E-01-1.463E+00 3.320E+09 1.000E+00 2.588E+35
  168 1.068E+12 1.559E+05 2.749E+07 2.243E+06 1.393E+00 3.532E-01 5.538E-01 3.920E-01-1.389E+00 3.350E+09 1.000E+00 2.588E+35
  169 1.069E+12 1.463E+05 3.334E+07 1.738E+06 1.393E+00 3.531E-01 5.588E-01 3.992E-01-1.302E+00 3.358E+09 1.000E+00 2.588E+35
  170 1.070E+12 1.372E+05 4.028E+07 1.348E+06 1.393E+00 3.532E-01 5.613E-01 4.030E-01-1.219E+00 3.351E+09 1.000E+00 2.588E+35
  171 1.071E+12 1.288E+05 4.853E+07 1.046E+06 1.393E+00 3.533E-01 5.615E-01 4.039E-01-1.152E+00 3.334E+09 1.000E+00 2.588E+35
  172 1.072E+12 1.208E+05 5.840E+07 8.126E+05 1.393E+00 3.534E-01 5.599E-01 4.025E-01-1.109E+00 3.317E+09 1.000E+00 2.588E+35
  173 1.072E+12 1.134E+05 7.032E+07 6.319E+05 1.393E+00 3.535E-01 5.571E-01 3.997E-01-1.092E+00 3.304E+09 1.000E+00 2.588E+35
  174 1.073E+12 1.065E+05 8.482E+07 4.920E+05 1.393E+00 3.535E-01 5.536E-01 3.961E-01-1.099E+00 3.303E+09 1.000E+00 2.588E+35
  175 1.074E+12 1.002E+05 1.026E+08 3.837E+05 1.393E+00 3.534E-01 5.502E-01 3.923E-01-1.130E+00 3.318E+09 1.000E+00 2.588E+35
  176 1.074E+12 9.426E+04 1.244E+08 2.999E+05 1.393E+00 3.532E-01 5.473E-01 3.891E-01-1.181E+00 3.352E+09 1.000E+00 2.588E+35
  177 1.075E+12 8.882E+04 1.513E+08 2.350E+05 1.392E+00 3.529E-01 5.453E-01 3.869E-01-1.252E+00 3.407E+09 1.000E+00 2.588E+35
  178 1.075E+12 8.380E+04 1.845E+08 1.847E+05 1.391E+00 3.524E-01 5.445E-01 3.860E-01-1.338E+00 3.485E+09 1.000E+00 2.588E+35
  179 1.076E+12 7.917E+04 2.255E+08 1.458E+05 1.390E+00 3.519E-01 5.452E-01 3.867E-01-1.437E+00 3.587E+09 1.000E+00 2.588E+35
  180 1.076E+12 7.493E+04 2.759E+08 1.156E+05 1.388E+00 3.512E-01 5.473E-01 3.892E-01-1.543E+00 3.711E+09 1.000E+00 2.588E+35
  181 1.077E+12 7.104E+04 3.372E+08 9.225E+04 1.387E+00 3.506E-01 5.509E-01 3.932E-01-1.649E+00 3.858E+09 1.000E+00 2.588E+35
  182 1.077E+12 6.749E+04 4.111E+08 7.415E+04 1.385E+00 3.498E-01 5.557E-01 3.984E-01-1.747E+00 4.024E+09 1.000E+00 2.588E+35
  183 1.078E+12 6.426E+04 4.991E+08 6.012E+04 1.383E+00 3.491E-01 5.612E-01 4.043E-01-1.825E+00 4.208E+09 1.000E+00 2.588E+35
  184 1.078E+12 6.134E+04 6.025E+08 4.925E+04 1.381E+00 3.484E-01 5.665E-01 4.099E-01-1.875E+00 4.408E+09 1.000E+00 2.588E+35
  185 1.078E+12 5.874E+04 7.223E+08 4.083E+04 1.379E+00 3.477E-01 5.705E-01 4.141E-01-1.887E+00 4.629E+09 1.000E+00 2.588E+35
  186 1.079E+12 5.643E+04 8.605E+08 3.430E+04 1.377E+00 3.469E-01 5.719E-01 4.154E-01-1.855E+00 4.880E+09 1.000E+00 2.588E+35
  187 1.079E+12 5.443E+04 1.020E+09 2.924E+04 1.375E+00 3.461E-01 5.691E-01 4.126E-01-1.780E+00 5.181E+09 1.000E+00 2.588E+35
  188 1.079E+12 5.274E+04 1.207E+09 2.531E+04 1.373E+00 3.452E-01 5.612E-01 4.043E-01-1.669E+00 5.559E+09 1.000E+00 2.588E+35
  189 1.080E+12 5.132E+04 1.429E+09 2.227E+04 1.370E+00 3.442E-01 5.480E-01 3.901E-01-1.531E+00 6.049E+09 1.000E+00 2.588E+35
  190 1.080E+12 5.018E+04 1.698E+09 1.991E+04 1.367E+00 3.431E-01 5.304E-01 3.699E-01-1.379E+00 6.694E+09 1.000E+00 2.588E+35
  191 1.080E+12 4.926E+04 2.027E+09 1.808E+04 1.364E+00 3.420E-01 5.100E-01 3.446E-01-1.225E+00 7.535E+09 1.000E+00 2.588E+35
  192 1.080E+12 4.855E+04 2.431E+09 1.666E+04 1.360E+00 3.409E-01 4.884E-01 3.157E-01-1.075E+00 8.620E+09 1.000E+00 2.588E+35
  193 1.080E+12 4.800E+04 2.926E+09 1.556E+04 1.357E+00 3.399E-01 4.673E-01 2.847E-01-9.359E-01 9.994E+09 1.000E+00 2.588E+35
  194 1.081E+12 4.758E+04 3.529E+09 1.471E+04 1.354E+00 3.389E-01 4.477E-01 2.535E-01-8.090E-01 1.170E+10 1.000E+00 2.588E+35
  195 1.081E+12 4.725E+04 4.256E+09 1.405E+04 1.351E+00 3.381E-01 4.304E-01 2.234E-01-6.964E-01 1.379E+10 1.000E+00 2.588E+35
  196 1.081E+12 4.701E+04 5.118E+09 1.354E+04 1.348E+00 3.374E-01 4.155E-01 1.956E-01-5.983E-01 1.629E+10 1.000E+00 2.588E+35
  197 1.081E+12 4.682E+04 6.122E+09 1.314E+04 1.346E+00 3.368E-01 4.030E-01 1.706E-01-5.144E-01 1.922E+10 1.000E+00 2.588E+35
  198 1.081E+12 4.668E+04 7.264E+09 1.283E+04 1.344E+00 3.362E-01 3.927E-01 1.489E-01-4.438E-01 2.256E+10 1.000E+00 2.588E+35
  199 1.081E+12 4.657E+04 8.534E+09 1.259E+04 1.343E+00 3.358E-01 3.844E-01 1.304E-01-3.853E-01 2.629E+10 1.000E+00 2.588E+35
  200 1.082E+12 4.649E+04 9.905E+09 1.240E+04 1.342E+00 3.355E-01 3.777E-01 1.149E-01-3.373E-01 3.032E+10 1.000E+00 2.588E+35
