
     FNPOL  3.000 RADIUS=   5.604624E+00
1 polytropic model in hydrostatic balance


 fnpol=  3.00 guess for surface radius= 5.604E+00 alpha= 1.784E-01
   lambda= 1.565E-02 rhobar= 2.387E-01 totmas= 1.000E+00 int. mass= 1.206E+00 diff.=-2.065E-01
  rz0= 1.684E-03 p0= 2.450E-05 rho0= 1.565E-02
 max. g in zone  273 radius = 9.192E-01 mass =  9.516E-01
 Asymptotic frequency for p modes is  0.0000E+00
   Eotvos parameters are   1.000E+00  1.000
   i     xi       theta     dthdr    radius      p        rho        g         rm       dm1       rzone
  172 3.227E+00 2.237E+00 5.407E+01 5.791E-01 6.294E-04 1.786E-01 1.863E-01 7.487E-02 2.549E-03 5.808E-01
  173 3.246E+00 2.251E+00 5.594E+01 5.825E-01 6.452E-04 1.819E-01 1.905E-01 7.723E-02 2.627E-03 5.842E-01
  174 3.265E+00 2.265E+00 5.786E+01 5.859E-01 6.613E-04 1.853E-01 1.948E-01 7.966E-02 2.707E-03 5.875E-01
  175 3.284E+00 2.279E+00 5.985E+01 5.892E-01 6.780E-04 1.888E-01 1.992E-01 8.216E-02 2.790E-03 5.909E-01
  176 3.302E+00 2.294E+00 6.190E+01 5.926E-01 6.950E-04 1.924E-01 2.036E-01 8.473E-02 2.875E-03 5.943E-01
  177 3.321E+00 2.308E+00 6.401E+01 5.960E-01 7.126E-04 1.960E-01 2.082E-01 8.738E-02 2.962E-03 5.976E-01
  178 3.340E+00 2.322E+00 6.619E+01 5.993E-01 7.306E-04 1.997E-01 2.128E-01 9.011E-02 3.053E-03 6.010E-01
  179 3.359E+00 2.337E+00 6.843E+01 6.027E-01 7.492E-04 2.035E-01 2.176E-01 9.292E-02 3.145E-03 6.044E-01
  180 3.378E+00 2.351E+00 7.074E+01 6.061E-01 7.682E-04 2.074E-01 2.224E-01 9.581E-02 3.241E-03 6.077E-01
  181 3.397E+00 2.366E+00 7.313E+01 6.094E-01 7.878E-04 2.113E-01 2.274E-01 9.878E-02 3.339E-03 6.111E-01
  182 3.416E+00 2.381E+00 7.559E+01 6.128E-01 8.079E-04 2.154E-01 2.324E-01 1.018E-01 3.441E-03 6.145E-01
  183 3.434E+00 2.396E+00 7.812E+01 6.162E-01 8.286E-04 2.195E-01 2.376E-01 1.050E-01 3.545E-03 6.178E-01
  184 3.453E+00 2.412E+00 8.073E+01 6.195E-01 8.499E-04 2.237E-01 2.428E-01 1.082E-01 3.653E-03 6.212E-01
  185 3.472E+00 2.427E+00 8.342E+01 6.229E-01 8.717E-04 2.280E-01 2.482E-01 1.116E-01 3.763E-03 6.246E-01
  186 3.491E+00 2.442E+00 8.619E+01 6.263E-01 8.942E-04 2.324E-01 2.536E-01 1.150E-01 3.877E-03 6.279E-01
  187 3.510E+00 2.458E+00 8.904E+01 6.296E-01 9.173E-04 2.369E-01 2.592E-01 1.185E-01 3.995E-03 6.313E-01
  188 3.529E+00 2.474E+00 9.198E+01 6.330E-01 9.410E-04 2.415E-01 2.649E-01 1.221E-01 4.116E-03 6.347E-01
  189 3.548E+00 2.489E+00 9.501E+01 6.364E-01 9.654E-04 2.461E-01 2.707E-01 1.259E-01 4.240E-03 6.380E-01
  190 3.567E+00 2.505E+00 9.814E+01 6.397E-01 9.904E-04 2.509E-01 2.767E-01 1.297E-01 4.368E-03 6.414E-01
  191 3.585E+00 2.521E+00 1.014E+02 6.431E-01 1.016E-03 2.558E-01 2.827E-01 1.337E-01 4.500E-03 6.448E-01
  192 3.604E+00 2.538E+00 1.047E+02 6.465E-01 1.043E-03 2.608E-01 2.889E-01 1.377E-01 4.635E-03 6.481E-01
  193 3.623E+00 2.554E+00 1.081E+02 6.498E-01 1.070E-03 2.658E-01 2.952E-01 1.419E-01 4.775E-03 6.515E-01
  194 3.642E+00 2.571E+00 1.116E+02 6.532E-01 1.098E-03 2.710E-01 3.017E-01 1.462E-01 4.918E-03 6.549E-01
  195 3.661E+00 2.587E+00 1.152E+02 6.566E-01 1.126E-03 2.763E-01 3.082E-01 1.507E-01 5.066E-03 6.582E-01
  196 3.680E+00 2.604E+00 1.189E+02 6.599E-01 1.156E-03 2.817E-01 3.149E-01 1.552E-01 5.218E-03 6.616E-01
  197 3.699E+00 2.621E+00 1.228E+02 6.633E-01 1.186E-03 2.872E-01 3.218E-01 1.599E-01 5.374E-03 6.650E-01
  198 3.718E+00 2.638E+00 1.267E+02 6.667E-01 1.217E-03 2.929E-01 3.287E-01 1.647E-01 5.535E-03 6.684E-01
  199 3.736E+00 2.655E+00 1.308E+02 6.700E-01 1.249E-03 2.986E-01 3.359E-01 1.697E-01 5.700E-03 6.717E-01
  200 3.755E+00 2.672E+00 1.350E+02 6.734E-01 1.282E-03 3.044E-01 3.431E-01 1.747E-01 5.870E-03 6.751E-01
  201 3.774E+00 2.689E+00 1.393E+02 6.768E-01 1.315E-03 3.104E-01 3.505E-01 1.800E-01 6.045E-03 6.785E-01
  202 3.793E+00 2.707E+00 1.437E+02 6.801E-01 1.350E-03 3.165E-01 3.581E-01 1.854E-01 6.225E-03 6.818E-01
  203 3.812E+00 2.724E+00 1.483E+02 6.835E-01 1.385E-03 3.227E-01 3.658E-01 1.909E-01 6.409E-03 6.852E-01
  204 3.831E+00 2.742E+00 1.530E+02 6.869E-01 1.421E-03 3.290E-01 3.737E-01 1.966E-01 6.599E-03 6.886E-01
  205 3.850E+00 2.760E+00 1.578E+02 6.902E-01 1.458E-03 3.354E-01 3.817E-01 2.024E-01 6.794E-03 6.919E-01
  206 3.869E+00 2.778E+00 1.628E+02 6.936E-01 1.496E-03 3.419E-01 3.899E-01 2.084E-01 6.994E-03 6.953E-01
  207 3.887E+00 2.796E+00 1.679E+02 6.970E-01 1.535E-03 3.486E-01 3.982E-01 2.146E-01 7.200E-03 6.987E-01
  208 3.906E+00 2.814E+00 1.731E+02 7.003E-01 1.575E-03 3.554E-01 4.067E-01 2.210E-01 7.410E-03 7.020E-01
  209 3.925E+00 2.832E+00 1.786E+02 7.037E-01 1.616E-03 3.623E-01 4.154E-01 2.275E-01 7.627E-03 7.054E-01
  210 3.944E+00 2.850E+00 1.841E+02 7.071E-01 1.658E-03 3.693E-01 4.242E-01 2.342E-01 7.849E-03 7.088E-01
  211 3.963E+00 2.868E+00 1.898E+02 7.104E-01 1.701E-03 3.764E-01 4.333E-01 2.411E-01 8.076E-03 7.121E-01
  212 3.982E+00 2.886E+00 1.957E+02 7.138E-01 1.744E-03 3.836E-01 4.425E-01 2.482E-01 8.309E-03 7.155E-01
  213 4.001E+00 2.905E+00 2.018E+02 7.172E-01 1.789E-03 3.910E-01 4.518E-01 2.554E-01 8.548E-03 7.189E-01
  214 4.019E+00 2.923E+00 2.080E+02 7.205E-01 1.835E-03 3.984E-01 4.614E-01 2.629E-01 8.792E-03 7.222E-01
  215 4.038E+00 2.942E+00 2.144E+02 7.239E-01 1.881E-03 4.059E-01 4.711E-01 2.705E-01 9.043E-03 7.256E-01
  216 4.057E+00 2.960E+00 2.210E+02 7.273E-01 1.928E-03 4.136E-01 4.810E-01 2.784E-01 9.298E-03 7.290E-01
  217 4.076E+00 2.978E+00 2.277E+02 7.306E-01 1.977E-03 4.213E-01 4.911E-01 2.865E-01 9.560E-03 7.323E-01
  218 4.095E+00 2.997E+00 2.346E+02 7.340E-01 2.026E-03 4.291E-01 5.013E-01 2.947E-01 9.827E-03 7.357E-01
  219 4.114E+00 3.015E+00 2.418E+02 7.374E-01 2.075E-03 4.370E-01 5.118E-01 3.032E-01 1.010E-02 7.391E-01
  220 4.133E+00 3.034E+00 2.491E+02 7.407E-01 2.126E-03 4.450E-01 5.224E-01 3.119E-01 1.038E-02 7.424E-01
  221 4.152E+00 3.052E+00 2.566E+02 7.441E-01 2.177E-03 4.530E-01 5.332E-01 3.209E-01 1.066E-02 7.458E-01
  222 4.170E+00 3.070E+00 2.643E+02 7.475E-01 2.229E-03 4.611E-01 5.442E-01 3.300E-01 1.095E-02 7.492E-01
  223 4.189E+00 3.088E+00 2.722E+02 7.508E-01 2.281E-03 4.692E-01 5.554E-01 3.394E-01 1.124E-02 7.525E-01
  224 4.208E+00 3.106E+00 2.803E+02 7.542E-01 2.334E-03 4.773E-01 5.668E-01 3.490E-01 1.154E-02 7.559E-01
  225 4.227E+00 3.124E+00 2.886E+02 7.576E-01 2.388E-03 4.854E-01 5.784E-01 3.589E-01 1.184E-02 7.593E-01
  226 4.246E+00 3.142E+00 2.971E+02 7.609E-01 2.441E-03 4.936E-01 5.901E-01 3.690E-01 1.215E-02 7.626E-01
  227 4.265E+00 3.159E+00 3.058E+02 7.643E-01 2.495E-03 5.017E-01 6.020E-01 3.793E-01 1.245E-02 7.660E-01
  228 4.284E+00 3.177E+00 3.148E+02 7.677E-01 2.548E-03 5.098E-01 6.141E-01 3.899E-01 1.277E-02 7.694E-01
  229 4.303E+00 3.193E+00 3.239E+02 7.710E-01 2.602E-03 5.178E-01 6.264E-01 4.007E-01 1.308E-02 7.727E-01
  230 4.321E+00 3.210E+00 3.333E+02 7.744E-01 2.655E-03 5.257E-01 6.388E-01 4.118E-01 1.340E-02 7.761E-01
  231 4.340E+00 3.226E+00 3.429E+02 7.778E-01 2.708E-03 5.335E-01 6.514E-01 4.231E-01 1.371E-02 7.795E-01
  232 4.359E+00 3.242E+00 3.527E+02 7.811E-01 2.760E-03 5.411E-01 6.642E-01 4.346E-01 1.403E-02 7.828E-01
  233 4.378E+00 3.258E+00 3.627E+02 7.845E-01 2.811E-03 5.486E-01 6.771E-01 4.464E-01 1.435E-02 7.862E-01
  234 4.397E+00 3.273E+00 3.730E+02 7.879E-01 2.860E-03 5.559E-01 6.901E-01 4.584E-01 1.466E-02 7.896E-01
  235 4.416E+00 3.287E+00 3.835E+02 7.912E-01 2.909E-03 5.629E-01 7.033E-01 4.707E-01 1.498E-02 7.929E-01
  236 4.435E+00 3.301E+00 3.941E+02 7.946E-01 2.955E-03 5.697E-01 7.167E-01 4.832E-01 1.528E-02 7.963E-01
  237 4.454E+00 3.314E+00 4.050E+02 7.980E-01 3.000E-03 5.761E-01 7.301E-01 4.959E-01 1.559E-02 7.997E-01
  238 4.472E+00 3.326E+00 4.161E+02 8.013E-01 3.042E-03 5.821E-01 7.436E-01 5.088E-01 1.588E-02 8.030E-01
  239 4.491E+00 3.338E+00 4.274E+02 8.047E-01 3.081E-03 5.877E-01 7.572E-01 5.220E-01 1.617E-02 8.064E-01
  240 4.510E+00 3.349E+00 4.389E+02 8.081E-01 3.117E-03 5.929E-01 7.709E-01 5.354E-01 1.645E-02 8.098E-01
  241 4.529E+00 3.358E+00 4.506E+02 8.114E-01 3.149E-03 5.975E-01 7.847E-01 5.489E-01 1.672E-02 8.131E-01
  242 4.548E+00 3.367E+00 4.625E+02 8.148E-01 3.178E-03 6.016E-01 7.985E-01 5.627E-01 1.697E-02 8.165E-01
  243 4.567E+00 3.375E+00 4.745E+02 8.182E-01 3.202E-03 6.050E-01 8.123E-01 5.766E-01 1.721E-02 8.199E-01
  244 4.586E+00 3.381E+00 4.867E+02 8.215E-01 3.221E-03 6.077E-01 8.261E-01 5.907E-01 1.742E-02 8.232E-01
  245 4.604E+00 3.386E+00 4.991E+02 8.249E-01 3.235E-03 6.096E-01 8.399E-01 6.049E-01 1.762E-02 8.266E-01
  246 4.623E+00 3.390E+00 5.116E+02 8.283E-01 3.243E-03 6.107E-01 8.536E-01 6.193E-01 1.780E-02 8.300E-01
  247 4.642E+00 3.392E+00 5.242E+02 8.316E-01 3.244E-03 6.109E-01 8.673E-01 6.338E-01 1.795E-02 8.333E-01
  248 4.661E+00 3.392E+00 5.369E+02 8.350E-01 3.239E-03 6.102E-01 8.808E-01 6.483E-01 1.808E-02 8.367E-01
  249 4.680E+00 3.391E+00 5.497E+02 8.384E-01 3.227E-03 6.085E-01 8.942E-01 6.629E-01 1.817E-02 8.401E-01
  250 4.699E+00 3.388E+00 5.626E+02 8.418E-01 3.207E-03 6.057E-01 9.075E-01 6.776E-01 1.823E-02 8.434E-01
  251 4.718E+00 3.382E+00 5.755E+02 8.451E-01 3.179E-03 6.017E-01 9.205E-01 6.923E-01 1.826E-02 8.468E-01
  252 4.737E+00 3.375E+00 5.885E+02 8.485E-01 3.143E-03 5.966E-01 9.333E-01 7.069E-01 1.825E-02 8.502E-01
  253 4.755E+00 3.365E+00 6.014E+02 8.519E-01 3.099E-03 5.903E-01 9.458E-01 7.215E-01 1.820E-02 8.535E-01
  254 4.774E+00 3.354E+00 6.143E+02 8.552E-01 3.046E-03 5.827E-01 9.581E-01 7.361E-01 1.810E-02 8.569E-01
  255 4.793E+00 3.339E+00 6.272E+02 8.586E-01 2.984E-03 5.738E-01 9.699E-01 7.505E-01 1.797E-02 8.603E-01
  256 4.812E+00 3.322E+00 6.400E+02 8.620E-01 2.913E-03 5.636E-01 9.814E-01 7.647E-01 1.779E-02 8.636E-01
  257 4.831E+00 3.302E+00 6.527E+02 8.653E-01 2.834E-03 5.521E-01 9.925E-01 7.788E-01 1.756E-02 8.670E-01
  258 4.850E+00 3.279E+00 6.652E+02 8.687E-01 2.747E-03 5.392E-01 1.003E+00 7.927E-01 1.728E-02 8.704E-01
  259 4.869E+00 3.254E+00 6.775E+02 8.721E-01 2.651E-03 5.251E-01 1.013E+00 8.063E-01 1.696E-02 8.737E-01
  260 4.888E+00 3.225E+00 6.897E+02 8.754E-01 2.548E-03 5.097E-01 1.023E+00 8.196E-01 1.659E-02 8.771E-01
  261 4.906E+00 3.193E+00 7.015E+02 8.788E-01 2.438E-03 4.931E-01 1.032E+00 8.326E-01 1.618E-02 8.805E-01
  262 4.925E+00 3.158E+00 7.132E+02 8.822E-01 2.322E-03 4.754E-01 1.040E+00 8.452E-01 1.571E-02 8.838E-01
  263 4.944E+00 3.120E+00 7.245E+02 8.855E-01 2.200E-03 4.566E-01 1.048E+00 8.574E-01 1.521E-02 8.872E-01
  264 4.963E+00 3.078E+00 7.354E+02 8.889E-01 2.075E-03 4.369E-01 1.055E+00 8.692E-01 1.466E-02 8.906E-01
  265 4.982E+00 3.033E+00 7.460E+02 8.923E-01 1.946E-03 4.163E-01 1.061E+00 8.805E-01 1.408E-02 8.939E-01
  266 5.001E+00 2.985E+00 7.563E+02 8.956E-01 1.814E-03 3.951E-01 1.067E+00 8.913E-01 1.346E-02 8.973E-01
  267 5.020E+00 2.933E+00 7.660E+02 8.990E-01 1.682E-03 3.733E-01 1.072E+00 9.016E-01 1.281E-02 9.007E-01
  268 5.039E+00 2.878E+00 7.754E+02 9.024E-01 1.550E-03 3.510E-01 1.076E+00 9.113E-01 1.214E-02 9.040E-01
  269 5.057E+00 2.820E+00 7.843E+02 9.057E-01 1.419E-03 3.286E-01 1.080E+00 9.205E-01 1.145E-02 9.074E-01
  270 5.076E+00 2.759E+00 7.927E+02 9.091E-01 1.290E-03 3.060E-01 1.082E+00 9.292E-01 1.074E-02 9.108E-01
  271 5.095E+00 2.694E+00 8.006E+02 9.125E-01 1.166E-03 2.835E-01 1.084E+00 9.372E-01 1.003E-02 9.141E-01
  272 5.114E+00 2.626E+00 8.080E+02 9.158E-01 1.046E-03 2.613E-01 1.086E+00 9.447E-01 9.308E-03 9.175E-01
  273 5.133E+00 2.556E+00 8.150E+02 9.192E-01 9.308E-04 2.395E-01 1.086E+00 9.516E-01 8.594E-03 9.209E-01
  274 5.152E+00 2.483E+00 8.214E+02 9.226E-01 8.224E-04 2.183E-01 1.086E+00 9.579E-01 7.889E-03 9.242E-01
  275 5.171E+00 2.407E+00 8.273E+02 9.259E-01 7.207E-04 1.977E-01 1.085E+00 9.636E-01 7.198E-03 9.276E-01
  276 5.189E+00 2.329E+00 8.328E+02 9.293E-01 6.264E-04 1.780E-01 1.084E+00 9.688E-01 6.526E-03 9.310E-01
  277 5.208E+00 2.249E+00 8.377E+02 9.327E-01 5.397E-04 1.591E-01 1.082E+00 9.735E-01 5.878E-03 9.343E-01
  278 5.227E+00 2.166E+00 8.422E+02 9.360E-01 4.607E-04 1.413E-01 1.079E+00 9.777E-01 5.258E-03 9.377E-01
  279 5.246E+00 2.082E+00 8.463E+02 9.394E-01 3.896E-04 1.246E-01 1.076E+00 9.814E-01 4.670E-03 9.411E-01
  280 5.265E+00 1.997E+00 8.499E+02 9.428E-01 3.261E-04 1.091E-01 1.072E+00 9.846E-01 4.116E-03 9.444E-01
  281 5.284E+00 1.910E+00 8.532E+02 9.461E-01 2.700E-04 9.466E-02 1.068E+00 9.874E-01 3.598E-03 9.478E-01
  282 5.303E+00 1.822E+00 8.561E+02 9.495E-01 2.210E-04 8.146E-02 1.064E+00 9.898E-01 3.118E-03 9.512E-01
  283 5.322E+00 1.733E+00 8.586E+02 9.529E-01 1.787E-04 6.945E-02 1.059E+00 9.919E-01 2.677E-03 9.545E-01
  284 5.340E+00 1.643E+00 8.608E+02 9.562E-01 1.425E-04 5.862E-02 1.054E+00 9.936E-01 2.276E-03 9.579E-01
  285 5.359E+00 1.553E+00 8.627E+02 9.596E-01 1.120E-04 4.894E-02 1.049E+00 9.951E-01 1.913E-03 9.613E-01
  286 5.378E+00 1.462E+00 8.644E+02 9.630E-01 8.666E-05 4.037E-02 1.043E+00 9.962E-01 1.589E-03 9.646E-01
  287 5.397E+00 1.371E+00 8.659E+02 9.663E-01 6.585E-05 3.285E-02 1.037E+00 9.972E-01 1.303E-03 9.680E-01
  288 5.416E+00 1.280E+00 8.671E+02 9.697E-01 4.904E-05 2.634E-02 1.032E+00 9.980E-01 1.051E-03 9.714E-01
  289 5.435E+00 1.189E+00 8.682E+02 9.731E-01 3.569E-05 2.075E-02 1.025E+00 9.986E-01 8.344E-04 9.747E-01
  290 5.454E+00 1.099E+00 8.691E+02 9.764E-01 2.530E-05 1.603E-02 1.019E+00 9.990E-01 6.491E-04 9.781E-01
  291 5.473E+00 1.008E+00 8.699E+02 9.798E-01 1.739E-05 1.210E-02 1.013E+00 9.994E-01 4.934E-04 9.815E-01
  292 5.491E+00 9.179E-01 8.706E+02 9.832E-01 1.152E-05 8.889E-03 1.007E+00 9.996E-01 3.648E-04 9.848E-01
  293 5.510E+00 8.281E-01 8.711E+02 9.865E-01 7.300E-06 6.312E-03 1.001E+00 9.998E-01 2.608E-04 9.882E-01
  294 5.529E+00 7.388E-01 8.717E+02 9.899E-01 4.374E-06 4.298E-03 9.944E-01 9.999E-01 1.788E-04 9.916E-01
  295 5.548E+00 6.500E-01 8.721E+02 9.933E-01 2.440E-06 2.774E-03 9.881E-01 9.999E-01 1.162E-04 9.949E-01
  296 5.567E+00 5.617E-01 8.726E+02 9.966E-01 1.100E-07 2.715E-04 9.819E-01 1.000E+00 1.126E-05 9.983E-01
  297 5.586E+00 2.589E-01 8.729E+02 9.999E-01 0.000E+00 0.000E+00 9.757E-01 1.000E+00 0.000E+00 0.000E+00
  298 5.605E+00 0.000E+00 8.733E+02 1.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
