
     FNPOL  3.000 RADIUS=   5.604624E+00
1 polytropic model in hydrostatic balance


 fnpol=  3.00 guess for surface radius= 5.604E+00 alpha= 1.784E-01
   lambda= 1.565E-02 rhobar= 2.387E-01 totmas= 1.000E+00 int. mass= 1.206E+00 diff.=-2.065E-01
  rz0= 1.684E-03 p0= 2.450E-05 rho0= 1.565E-02
 max. g in zone  273 radius = 9.192E-01 mass =  9.516E-01
 Asymptotic frequency for p modes is  0.0000E+00
   Eotvos parameters are   1.000E+00  1.000
   i     xi       theta     dthdr    radius      p        rho        g         rm       dm1       rzone
   40 7.360E-01 1.146E+00 2.987E-02 1.347E-01 4.286E-05 2.381E-02 2.081E-03 2.156E-04 1.873E-05 1.364E-01
   41 7.548E-01 1.150E+00 3.379E-02 1.380E-01 4.354E-05 2.409E-02 2.234E-03 2.342E-04 1.990E-05 1.397E-01
   42 7.737E-01 1.155E+00 3.811E-02 1.414E-01 4.424E-05 2.438E-02 2.394E-03 2.540E-04 2.112E-05 1.431E-01
   43 7.926E-01 1.159E+00 4.286E-02 1.448E-01 4.495E-05 2.467E-02 2.562E-03 2.749E-04 2.240E-05 1.465E-01
   44 8.114E-01 1.164E+00 4.807E-02 1.481E-01 4.568E-05 2.497E-02 2.737E-03 2.972E-04 2.372E-05 1.498E-01
   45 8.303E-01 1.169E+00 5.376E-02 1.515E-01 4.643E-05 2.528E-02 2.919E-03 3.207E-04 2.510E-05 1.532E-01
   46 8.492E-01 1.173E+00 5.999E-02 1.549E-01 4.719E-05 2.559E-02 3.110E-03 3.456E-04 2.654E-05 1.566E-01
   47 8.681E-01 1.178E+00 6.677E-02 1.582E-01 4.796E-05 2.590E-02 3.308E-03 3.719E-04 2.803E-05 1.599E-01
   48 8.869E-01 1.183E+00 7.414E-02 1.616E-01 4.875E-05 2.622E-02 3.514E-03 3.997E-04 2.959E-05 1.633E-01
   49 9.058E-01 1.188E+00 8.216E-02 1.650E-01 4.956E-05 2.655E-02 3.729E-03 4.290E-04 3.120E-05 1.667E-01
   50 9.247E-01 1.193E+00 9.084E-02 1.684E-01 5.039E-05 2.688E-02 3.952E-03 4.600E-04 3.288E-05 1.700E-01
   51 9.435E-01 1.198E+00 1.002E-01 1.717E-01 5.123E-05 2.722E-02 4.183E-03 4.926E-04 3.463E-05 1.734E-01
   52 9.624E-01 1.203E+00 1.104E-01 1.751E-01 5.210E-05 2.756E-02 4.423E-03 5.269E-04 3.644E-05 1.768E-01
   53 9.813E-01 1.208E+00 1.214E-01 1.785E-01 5.298E-05 2.791E-02 4.672E-03 5.630E-04 3.832E-05 1.801E-01
   54 1.000E+00 1.213E+00 1.332E-01 1.818E-01 5.388E-05 2.826E-02 4.931E-03 6.009E-04 4.027E-05 1.835E-01
   55 1.019E+00 1.218E+00 1.459E-01 1.852E-01 5.480E-05 2.862E-02 5.198E-03 6.408E-04 4.229E-05 1.869E-01
   56 1.038E+00 1.223E+00 1.596E-01 1.886E-01 5.574E-05 2.899E-02 5.475E-03 6.827E-04 4.439E-05 1.902E-01
   57 1.057E+00 1.228E+00 1.742E-01 1.919E-01 5.670E-05 2.937E-02 5.761E-03 7.266E-04 4.657E-05 1.936E-01
   58 1.076E+00 1.233E+00 1.899E-01 1.953E-01 5.768E-05 2.975E-02 6.057E-03 7.727E-04 4.883E-05 1.970E-01
   59 1.095E+00 1.239E+00 2.068E-01 1.987E-01 5.868E-05 3.013E-02 6.364E-03 8.210E-04 5.117E-05 2.003E-01
   60 1.113E+00 1.244E+00 2.248E-01 2.020E-01 5.970E-05 3.052E-02 6.680E-03 8.717E-04 5.359E-05 2.037E-01
   61 1.132E+00 1.249E+00 2.440E-01 2.054E-01 6.075E-05 3.093E-02 7.007E-03 9.247E-04 5.611E-05 2.071E-01
   62 1.151E+00 1.255E+00 2.645E-01 2.088E-01 6.181E-05 3.133E-02 7.344E-03 9.802E-04 5.871E-05 2.104E-01
   63 1.170E+00 1.260E+00 2.864E-01 2.121E-01 6.291E-05 3.175E-02 7.691E-03 1.038E-03 6.140E-05 2.138E-01
   64 1.189E+00 1.266E+00 3.098E-01 2.155E-01 6.402E-05 3.217E-02 8.050E-03 1.099E-03 6.419E-05 2.172E-01
   65 1.208E+00 1.271E+00 3.346E-01 2.189E-01 6.516E-05 3.260E-02 8.420E-03 1.162E-03 6.708E-05 2.205E-01
   66 1.227E+00 1.277E+00 3.610E-01 2.222E-01 6.633E-05 3.303E-02 8.801E-03 1.229E-03 7.007E-05 2.239E-01
   67 1.245E+00 1.283E+00 3.890E-01 2.256E-01 6.752E-05 3.348E-02 9.193E-03 1.298E-03 7.316E-05 2.273E-01
   68 1.264E+00 1.288E+00 4.188E-01 2.290E-01 6.874E-05 3.393E-02 9.598E-03 1.370E-03 7.636E-05 2.306E-01
   69 1.283E+00 1.294E+00 4.503E-01 2.323E-01 6.998E-05 3.439E-02 1.001E-02 1.445E-03 7.967E-05 2.340E-01
   70 1.302E+00 1.300E+00 4.838E-01 2.357E-01 7.125E-05 3.486E-02 1.044E-02 1.524E-03 8.310E-05 2.374E-01
   71 1.321E+00 1.306E+00 5.192E-01 2.391E-01 7.255E-05 3.533E-02 1.088E-02 1.606E-03 8.664E-05 2.407E-01
   72 1.340E+00 1.312E+00 5.567E-01 2.424E-01 7.388E-05 3.581E-02 1.134E-02 1.692E-03 9.030E-05 2.441E-01
   73 1.359E+00 1.318E+00 5.963E-01 2.458E-01 7.524E-05 3.631E-02 1.180E-02 1.781E-03 9.408E-05 2.475E-01
   74 1.378E+00 1.324E+00 6.381E-01 2.492E-01 7.663E-05 3.681E-02 1.228E-02 1.873E-03 9.800E-05 2.508E-01
   75 1.396E+00 1.330E+00 6.824E-01 2.525E-01 7.805E-05 3.732E-02 1.277E-02 1.970E-03 1.020E-04 2.542E-01
   76 1.415E+00 1.336E+00 7.290E-01 2.559E-01 7.950E-05 3.784E-02 1.328E-02 2.071E-03 1.062E-04 2.576E-01
   77 1.434E+00 1.342E+00 7.782E-01 2.593E-01 8.098E-05 3.837E-02 1.380E-02 2.175E-03 1.105E-04 2.609E-01
   78 1.453E+00 1.348E+00 8.300E-01 2.626E-01 8.250E-05 3.890E-02 1.433E-02 2.284E-03 1.150E-04 2.643E-01
   79 1.472E+00 1.355E+00 8.846E-01 2.660E-01 8.405E-05 3.945E-02 1.488E-02 2.397E-03 1.196E-04 2.677E-01
   80 1.491E+00 1.361E+00 9.421E-01 2.694E-01 8.563E-05 4.001E-02 1.544E-02 2.515E-03 1.244E-04 2.710E-01
   81 1.510E+00 1.367E+00 1.003E+00 2.727E-01 8.725E-05 4.058E-02 1.601E-02 2.637E-03 1.293E-04 2.744E-01
   82 1.529E+00 1.374E+00 1.066E+00 2.761E-01 8.891E-05 4.115E-02 1.661E-02 2.764E-03 1.344E-04 2.778E-01
   83 1.547E+00 1.380E+00 1.133E+00 2.795E-01 9.061E-05 4.174E-02 1.721E-02 2.896E-03 1.396E-04 2.811E-01
   84 1.566E+00 1.387E+00 1.203E+00 2.828E-01 9.234E-05 4.234E-02 1.783E-02 3.034E-03 1.450E-04 2.845E-01
   85 1.585E+00 1.393E+00 1.277E+00 2.862E-01 9.411E-05 4.295E-02 1.847E-02 3.176E-03 1.506E-04 2.879E-01
   86 1.604E+00 1.400E+00 1.354E+00 2.896E-01 9.593E-05 4.356E-02 1.913E-02 3.324E-03 1.564E-04 2.912E-01
   87 1.623E+00 1.407E+00 1.435E+00 2.929E-01 9.778E-05 4.419E-02 1.980E-02 3.478E-03 1.623E-04 2.946E-01
   88 1.642E+00 1.413E+00 1.520E+00 2.963E-01 9.968E-05 4.484E-02 2.048E-02 3.637E-03 1.684E-04 2.980E-01
   89 1.661E+00 1.420E+00 1.609E+00 2.997E-01 1.016E-04 4.549E-02 2.119E-02 3.802E-03 1.748E-04 3.013E-01
   90 1.680E+00 1.427E+00 1.703E+00 3.030E-01 1.036E-04 4.615E-02 2.191E-02 3.974E-03 1.813E-04 3.047E-01
   91 1.698E+00 1.434E+00 1.801E+00 3.064E-01 1.056E-04 4.683E-02 2.264E-02 4.151E-03 1.881E-04 3.081E-01
   92 1.717E+00 1.441E+00 1.903E+00 3.098E-01 1.077E-04 4.752E-02 2.340E-02 4.336E-03 1.950E-04 3.114E-01
   93 1.736E+00 1.448E+00 2.010E+00 3.131E-01 1.098E-04 4.822E-02 2.417E-02 4.527E-03 2.022E-04 3.148E-01
   94 1.755E+00 1.455E+00 2.122E+00 3.165E-01 1.120E-04 4.894E-02 2.497E-02 4.725E-03 2.096E-04 3.182E-01
   95 1.774E+00 1.462E+00 2.239E+00 3.199E-01 1.142E-04 4.966E-02 2.578E-02 4.930E-03 2.173E-04 3.215E-01
   96 1.793E+00 1.469E+00 2.361E+00 3.232E-01 1.165E-04 5.040E-02 2.661E-02 5.142E-03 2.251E-04 3.249E-01
   97 1.812E+00 1.477E+00 2.488E+00 3.266E-01 1.188E-04 5.116E-02 2.746E-02 5.363E-03 2.333E-04 3.283E-01
   98 1.830E+00 1.484E+00 2.622E+00 3.300E-01 1.212E-04 5.193E-02 2.833E-02 5.591E-03 2.417E-04 3.316E-01
   99 1.849E+00 1.491E+00 2.761E+00 3.333E-01 1.237E-04 5.271E-02 2.922E-02 5.827E-03 2.503E-04 3.350E-01
  100 1.868E+00 1.499E+00 2.906E+00 3.367E-01 1.262E-04 5.350E-02 3.013E-02 6.071E-03 2.592E-04 3.384E-01
  101 1.887E+00 1.506E+00 3.057E+00 3.401E-01 1.287E-04 5.432E-02 3.106E-02 6.324E-03 2.684E-04 3.418E-01
  102 1.906E+00 1.514E+00 3.215E+00 3.434E-01 1.313E-04 5.514E-02 3.201E-02 6.586E-03 2.779E-04 3.451E-01
  103 1.925E+00 1.522E+00 3.380E+00 3.468E-01 1.340E-04 5.598E-02 3.299E-02 6.857E-03 2.877E-04 3.485E-01
  104 1.944E+00 1.529E+00 3.551E+00 3.502E-01 1.368E-04 5.684E-02 3.398E-02 7.138E-03 2.977E-04 3.519E-01
  105 1.963E+00 1.537E+00 3.730E+00 3.535E-01 1.396E-04 5.771E-02 3.500E-02 7.428E-03 3.081E-04 3.552E-01
  106 1.981E+00 1.545E+00 3.916E+00 3.569E-01 1.424E-04 5.860E-02 3.604E-02 7.728E-03 3.188E-04 3.586E-01
  107 2.000E+00 1.553E+00 4.109E+00 3.603E-01 1.454E-04 5.950E-02 3.711E-02 8.039E-03 3.298E-04 3.620E-01
  108 2.019E+00 1.561E+00 4.311E+00 3.636E-01 1.484E-04 6.043E-02 3.820E-02 8.360E-03 3.412E-04 3.653E-01
  109 2.038E+00 1.569E+00 4.521E+00 3.670E-01 1.515E-04 6.137E-02 3.931E-02 8.692E-03 3.529E-04 3.687E-01
  110 2.057E+00 1.577E+00 4.739E+00 3.704E-01 1.546E-04 6.232E-02 4.045E-02 9.035E-03 3.650E-04 3.721E-01
  111 2.076E+00 1.585E+00 4.966E+00 3.737E-01 1.579E-04 6.330E-02 4.161E-02 9.389E-03 3.775E-04 3.754E-01
  112 2.095E+00 1.593E+00 5.202E+00 3.771E-01 1.612E-04 6.429E-02 4.280E-02 9.756E-03 3.903E-04 3.788E-01
  113 2.114E+00 1.601E+00 5.448E+00 3.805E-01 1.646E-04 6.530E-02 4.401E-02 1.013E-02 4.035E-04 3.822E-01
  114 2.132E+00 1.610E+00 5.703E+00 3.838E-01 1.680E-04 6.633E-02 4.525E-02 1.053E-02 4.171E-04 3.855E-01
  115 2.151E+00 1.618E+00 5.968E+00 3.872E-01 1.716E-04 6.738E-02 4.652E-02 1.093E-02 4.312E-04 3.889E-01
  116 2.170E+00 1.627E+00 6.243E+00 3.906E-01 1.752E-04 6.845E-02 4.782E-02 1.135E-02 4.456E-04 3.923E-01
